Date,AveragePrice,region,type
01-01-2019,61.87,January,Energy
02-01-2019,76.63,January,Energy
03-01-2019,76.9,January,Energy
04-01-2019,76.62,January,Energy
05-01-2019,67.78,January,Energy
06-01-2019,46.05,January,Energy
07-01-2019,71.39,January,Energy
08-01-2019,80.73,January,Energy
09-01-2019,89.54,January,Energy
10-01-2019,96.29,January,Energy
11-01-2019,92.33,January,Energy
12-01-2019,74.94,January,Energy
13-01-2019,38.44,January,Energy
14-01-2019,90.62,January,Energy
15-01-2019,92.7,January,Energy
16-01-2019,93.25,January,Energy
17-01-2019,91.91,January,Energy
18-01-2019,95.68,January,Energy
19-01-2019,70.68,January,Energy
20-01-2019,62.22,January,Energy
21-01-2019,100.86,January,Energy
22-01-2019,95.45,January,Energy
23-01-2019,99.13,January,Energy
24-01-2019,95.25,January,Energy
25-01-2019,87.43,January,Energy
26-01-2019,71.87,January,Energy
27-01-2019,76.95,January,Energy
28-01-2019,96.29,January,Energy
29-01-2019,98.62,January,Energy
30-01-2019,97.31,January,Energy
31-01-2019,103.34,January,Energy
01-02-2019,103.91,Febuary,Energy
02-02-2019,86.69,Febuary,Energy
03-02-2019,85.01,Febuary,Energy
04-02-2019,103.14,Febuary,Energy
05-02-2019,103.34,Febuary,Energy
06-02-2019,107.63,Febuary,Energy
07-02-2019,119.26,Febuary,Energy
08-02-2019,119.4,Febuary,Energy
09-02-2019,108.13,Febuary,Energy
10-02-2019,104.78,Febuary,Energy
11-02-2019,116.33,Febuary,Energy
12-02-2019,115.45,Febuary,Energy
13-02-2019,118.43,Febuary,Energy
14-02-2019,108.51,Febuary,Energy
15-02-2019,92.34,Febuary,Energy
16-02-2019,82.2,Febuary,Energy
17-02-2019,80.49,Febuary,Energy
18-02-2019,108.41,Febuary,Energy
19-02-2019,109.77,Febuary,Energy
20-02-2019,100.54,Febuary,Energy
21-02-2019,98.77,Febuary,Energy
22-02-2019,93.37,Febuary,Energy
23-02-2019,73.45,Febuary,Energy
24-02-2019,73.25,Febuary,Energy
25-02-2019,98.06,Febuary,Energy
26-02-2019,100.15,Febuary,Energy
27-02-2019,103.38,Febuary,Energy
28-02-2019,103.2,Febuary,Energy
01-03-2019,98.46,March,Energy
03-03-2019,75.55,March,Energy
04-03-2019,105.89,March,Energy
05-03-2019,110.7,March,Energy
06-03-2019,111.88,March,Energy
07-03-2019,110.64,March,Energy
08-03-2019,106.84,March,Energy
09-03-2019,91.59,March,Energy
10-03-2019,84.91,March,Energy
11-03-2019,99.08,March,Energy
12-03-2019,99.85,March,Energy
13-03-2019,99.37,March,Energy
14-03-2019,85.67,March,Energy
15-03-2019,82.25,March,Energy
16-03-2019,66.67,March,Energy
17-03-2019,66.51,March,Energy
18-03-2019,81.99,March,Energy
19-03-2019,78.06,March,Energy
20-03-2019,75.33,March,Energy
21-03-2019,68.72,March,Energy
22-03-2019,64.76,March,Energy
23-03-2019,48.45,March,Energy
24-03-2019,47.98,March,Energy
25-03-2019,66.57,March,Energy
26-03-2019,65.7,March,Energy
27-03-2019,68.71,March,Energy
28-03-2019,64.16,March,Energy
29-03-2019,61.81,March,Energy
30-03-2019,47.55,March,Energy
31-03-2019,48.46,March,Energy
01-04-2019,65.38,April,Energy
02-04-2019,67.52,April,Energy
03-04-2019,68.75,April,Energy
04-04-2019,85.4,April,Energy
05-04-2019,85.31,April,Energy
06-04-2019,79.29,April,Energy
07-04-2019,77.08,April,Energy
08-04-2019,84.11,April,Energy
09-04-2019,77.11,April,Energy
10-04-2019,78.08,April,Energy
11-04-2019,79.85,April,Energy
12-04-2019,76.26,April,Energy
13-04-2019,62.14,April,Energy
14-04-2019,61.79,April,Energy
15-04-2019,72.68,April,Energy
16-04-2019,72.41,April,Energy
17-04-2019,74.56,April,Energy
18-04-2019,70.22,April,Energy
19-04-2019,60.83,April,Energy
20-04-2019,60.45,April,Energy
21-04-2019,60.2,April,Energy
22-04-2019,62.79,April,Energy
23-04-2019,69.7,April,Energy
24-04-2019,69.01,April,Energy
25-04-2019,71.08,April,Energy
26-04-2019,69.69,April,Energy
27-04-2019,60.98,April,Energy
28-04-2019,58.68,April,Energy
29-04-2019,75.8,April,Energy
30-04-2019,82.35,April,Energy
01-05-2019,81.78,May,Energy
02-05-2019,88.1,May,Energy
03-05-2019,83.98,May,Energy
04-05-2019,67.25,May,Energy
05-05-2019,48.04,May,Energy
06-05-2019,71.98,May,Energy
07-05-2019,78.56,May,Energy
08-05-2019,86.7,May,Energy
09-05-2019,64.5,May,Energy
10-05-2019,61.72,May,Energy
11-05-2019,48.64,May,Energy
12-05-2019,39.49,May,Energy
13-05-2019,61.7,May,Energy
14-05-2019,63.71,May,Energy
15-05-2019,66.66,May,Energy
16-05-2019,64.2,May,Energy
17-05-2019,63.68,May,Energy
18-05-2019,49.06,May,Energy
19-05-2019,39.72,May,Energy
20-05-2019,66.79,May,Energy
21-05-2019,69.02,May,Energy
